,gene_ids
AGFG1,ENSG00000173744.17
PID1,ENSG00000153823.18
AC009950.1,ENSG00000225963.8
ITM2C,ENSG00000135916.16
GPR55,ENSG00000135898.10
AC017104.1,ENSG00000224376.1
B3GNT7,ENSG00000156966.7
NMUR1,ENSG00000171596.7
TIGD1,ENSG00000221944.8
ATG16L1,ENSG00000085978.22
DGKD,ENSG00000077044.10
USP40,ENSG00000085982.13
ARL4C,ENSG00000188042.8
AGAP1,ENSG00000157985.19
RAMP1,ENSG00000132329.11
PER2,ENSG00000132326.12
HDAC4,ENSG00000068024.16
ANKMY1,ENSG00000144504.15
CAPN10-DT,ENSG00000260942.1
GPR35,ENSG00000178623.12
AC104809.2,ENSG00000233392.5
PASK,ENSG00000115687.14
BOK,ENSG00000176720.6
ING5,ENSG00000168395.16
D2HGDH,ENSG00000180902.18
PDCD1,ENSG00000188389.11
RTP5,ENSG00000188011.5
LINC01881,ENSG00000220804.8
IL5RA,ENSG00000091181.19
TRNT1,ENSG00000072756.17
BHLHE40-AS1,ENSG00000235831.7
BHLHE40,ENSG00000134107.5
SRGAP3,ENSG00000196220.16
THUMPD3-AS1,ENSG00000206573.9
BRPF1,ENSG00000156983.16
ARPC4,ENSG00000241553.12
TTLL3,ENSG00000214021.16
IL17RE,ENSG00000163701.19
CRELD1,ENSG00000163703.19
PRRT3,ENSG00000163704.12
CIDECP1,ENSG00000186162.10
IRAK2,ENSG00000134070.5
TATDN2,ENSG00000157014.11
LINC00852,ENSG00000231177.4
ATG7,ENSG00000197548.12
VGLL4,ENSG00000144560.15
TIMP4,ENSG00000157150.5
TMEM40,ENSG00000088726.16
IQSEC1,ENSG00000144711.16
WNT7A,ENSG00000154764.6
AC093495.1,ENSG00000228242.6
SLC6A6,ENSG00000131389.17
CCDC174,ENSG00000154781.16
NR2C2,ENSG00000177463.15
SH3BP5-AS1,ENSG00000224660.2
EAF1,ENSG00000144597.14
COLQ,ENSG00000206561.13
ANKRD28,ENSG00000206560.11
OXNAD1,ENSG00000154814.14
SATB1,ENSG00000182568.17
KAT2B,ENSG00000114166.8
NR1D2,ENSG00000174738.13
SLC4A7,ENSG00000033867.16
LINC02084,ENSG00000272282.1
EOMES,ENSG00000163508.13
CMC1,ENSG00000187118.14
ZCWPW2,ENSG00000206559.8
TGFBR2,ENSG00000163513.19
CCR4,ENSG00000183813.7
CRTAP,ENSG00000170275.15
CLASP2,ENSG00000163539.17
STAC,ENSG00000144681.10
TRANK1,ENSG00000168016.14
EPM2AIP1,ENSG00000178567.8
CTDSPL,ENSG00000144677.15
VILL,ENSG00000136059.14
TTC21A,ENSG00000168026.18
CSRNP1,ENSG00000144655.15
CX3CR1,ENSG00000168329.14
EIF1B-AS1,ENSG00000280739.3
ENTPD3-AS1,ENSG00000223797.6
ZNF619,ENSG00000177873.14
ZNF620,ENSG00000177842.12
ZNF621,ENSG00000172888.12
AC099560.2,ENSG00000234287.1
NKTR,ENSG00000114857.18
AC006059.1,ENSG00000230084.6
ZBTB47,ENSG00000114853.14
ABHD5,ENSG00000011198.10
C3orf86,ENSG00000225873.4
ZNF445,ENSG00000185219.17
ZNF852,ENSG00000178917.16
ZKSCAN7,ENSG00000196345.13
ZNF35,ENSG00000169981.11
TMEM158,ENSG00000249992.2
LIMD1,ENSG00000144791.10
SACM1L,ENSG00000211456.13
LZTFL1,ENSG00000163818.17
FYCO1,ENSG00000163820.15
CXCR6,ENSG00000172215.6
CCR3,ENSG00000183625.15
CCR1,ENSG00000163823.4
CCR2,ENSG00000121807.5
CCRL2,ENSG00000121797.10
LTF,ENSG00000012223.13
NBEAL2,ENSG00000160796.18
KIF9-AS1,ENSG00000227398.4
KLHL18,ENSG00000114648.12
AC099778.1,ENSG00000260236.1
PTPN23,ENSG00000076201.15
CAMP,ENSG00000164047.6
ZNF589,ENSG00000164048.14
PFKFB4,ENSG00000114268.12
WDR6,ENSG00000178252.18
USP19,ENSG00000172046.19
KLHDC8B,ENSG00000185909.15
C3orf62,ENSG00000188315.8
GPX1,ENSG00000233276.6
TCTA,ENSG00000145022.4
DAG1,ENSG00000173402.12
MST1,ENSG00000173531.15
IP6K1,ENSG00000176095.12
INKA1,ENSG00000185614.7
RBM5,ENSG00000003756.17
RASSF1,ENSG00000068028.17
RASSF1-AS1,ENSG00000281358.1
CACNA2D2,ENSG00000007402.11
Z84492.1,ENSG00000271858.5
C3orf18,ENSG00000088543.15
CISH,ENSG00000114737.15
RAD54L2,ENSG00000164080.13
DNAH1,ENSG00000114841.17
BAP1,ENSG00000163930.10
NISCH,ENSG00000010322.16
STAB1,ENSG00000010327.10
NEK4,ENSG00000114904.13
STIMATE,ENSG00000213533.12
PRKCD,ENSG00000163932.15
TKT,ENSG00000163931.16
CHDH,ENSG00000016391.11
IL17RB,ENSG00000056736.10
CACNA2D3,ENSG00000157445.15
CCDC66,ENSG00000180376.17
ARHGEF3,ENSG00000163947.11
ARF4-AS1,ENSG00000272146.6
DENND6A,ENSG00000174839.13
AC135507.1,ENSG00000272182.1
AC104162.2,ENSG00000285399.3
PSMD6-AS2,ENSG00000239653.1
LRIG1,ENSG00000144749.13
SUCLG2-AS1,ENSG00000241316.8
FRMD4B,ENSG00000114541.15
MITF,ENSG00000187098.15
FOXP1,ENSG00000114861.22
FOXP1-IT1,ENSG00000242094.1
GPR27,ENSG00000170837.3
PROK2,ENSG00000163421.9
LINC00877,ENSG00000241163.8
RYBP,ENSG00000163602.10
EBLN2,ENSG00000255423.1
ZNF654,ENSG00000175105.7
PROS1,ENSG00000184500.16
CRYBG3,ENSG00000080200.10
GPR15,ENSG00000154165.5
ST3GAL6,ENSG00000064225.12
FILIP1L,ENSG00000168386.18
TBC1D23,ENSG00000036054.13
SENP7,ENSG00000138468.16
ZBTB11-AS1,ENSG00000256628.3
AC084198.4,ENSG00000286699.1
NFKBIZ,ENSG00000144802.11
CBLB,ENSG00000114423.23
AC012020.1,ENSG00000279277.2
DZIP3,ENSG00000198919.13
CD96,ENSG00000153283.13
ZBED2,ENSG00000177494.6
NT5C3AP2,ENSG00000244720.1
PLCXD2,ENSG00000240891.8
PHLDB2,ENSG00000144824.21
CD200,ENSG00000091972.18
AC078785.1,ENSG00000240057.6
SIDT1,ENSG00000072858.10
USF3,ENSG00000176542.10
AC093010.1,ENSG00000241490.1
ZNF80,ENSG00000174255.7
TIGIT,ENSG00000181847.12
ZBTB20,ENSG00000181722.16
AC092910.3,ENSG00000242622.2
GOLGB1,ENSG00000173230.15
SLC15A2,ENSG00000163406.11
CD86,ENSG00000114013.16
CSTA,ENSG00000121552.4
WDR5B,ENSG00000196981.4
KPNA1,ENSG00000114030.13
PARP15,ENSG00000173200.13
PARP14,ENSG00000173193.15
HSPBAP1,ENSG00000169087.11
SLC49A4,ENSG00000138463.9
LINC02035,ENSG00000273033.2
MYLK,ENSG00000065534.18
CCDC14,ENSG00000175455.15
ITGB5,ENSG00000082781.12
HEG1,ENSG00000173706.14
OSBPL11,ENSG00000144909.8
CHST13,ENSG00000180767.10
ABTB1,ENSG00000114626.18
MGLL,ENSG00000074416.14
GATA2,ENSG00000179348.12
GP9,ENSG00000169704.4
H1-10,ENSG00000184897.6
RPL32P3,ENSG00000251474.6
PLXND1,ENSG00000004399.12
ATP2C1,ENSG00000017260.19
ASTE1,ENSG00000034533.11
NEK11,ENSG00000114670.14
ACP3,ENSG00000014257.16
DNAJC13,ENSG00000138246.17
ACAD11,ENSG00000240303.8
NPHP3,ENSG00000113971.20
RAB6B,ENSG00000154917.11
RYK,ENSG00000163785.12
MSL2,ENSG00000174579.4
AC117382.1,ENSG00000240695.1
NCK1-DT,ENSG00000239213.6
PIK3CB,ENSG00000051382.9
AC046134.2,ENSG00000248932.6
NMNAT3,ENSG00000163864.17
ZBTB38,ENSG00000177311.11
TFDP2,ENSG00000114126.17
GK5,ENSG00000175066.16
ATR,ENSG00000175054.16
CHST2,ENSG00000175040.6
SLC9A9,ENSG00000181804.15
DIPK2A,ENSG00000181744.9
PLSCR1,ENSG00000188313.13
HPS3,ENSG00000163755.9
SIAH2,ENSG00000181788.4
MED12L,ENSG00000144893.12
GPR171,ENSG00000174946.7
P2RY13,ENSG00000181631.7
MBNL1-AS1,ENSG00000229619.4
P2RY1,ENSG00000169860.7
RAP2B,ENSG00000181467.5
SLC33A1,ENSG00000169359.16
LEKR1,ENSG00000197980.13
CCNL1,ENSG00000163660.12
AC092944.1,ENSG00000243176.6
PTX3,ENSG00000163661.4
MLF1,ENSG00000178053.19
MFSD1,ENSG00000118855.21
SMC4,ENSG00000113810.16
PPM1L,ENSG00000163590.14
SERPINI1,ENSG00000163536.12
GPR160,ENSG00000173890.17
RPL22L1,ENSG00000163584.18
TNIK,ENSG00000154310.17
AC092919.3,ENSG00000279673.1
FNDC3B,ENSG00000075420.13
TNFSF10,ENSG00000121858.11
ZMAT3,ENSG00000172667.11
PIK3CA,ENSG00000121879.5
LRRFIP1P1,ENSG00000240429.1
TTC14,ENSG00000163728.11
LAMP3,ENSG00000078081.8
B3GNT5,ENSG00000176597.12
KLHL6,ENSG00000172578.12
KLHL24,ENSG00000114796.16
PARL,ENSG00000175193.14
ABCC5,ENSG00000114770.17
FAM131A,ENSG00000175182.15
VPS8,ENSG00000156931.15
IGF2BP2,ENSG00000073792.16
DGKG,ENSG00000058866.15
AC112907.3,ENSG00000263826.1
ST6GAL1,ENSG00000073849.15
BCL6,ENSG00000113916.18
AC072022.2,ENSG00000285938.1
LPP-AS2,ENSG00000270959.1
TPRG1,ENSG00000188001.10
IL1RAP,ENSG00000196083.10
CCDC50,ENSG00000152492.15
ATP13A3,ENSG00000133657.15
TMEM44-AS1,ENSG00000231770.6
FAM43A,ENSG00000185112.6
APOD,ENSG00000189058.9
MUC20-OT1,ENSG00000242086.8
TNK2,ENSG00000061938.19
TFRC,ENSG00000072274.13
ZDHHC19,ENSG00000163958.14
PCYT1A,ENSG00000161217.12
UBXN7,ENSG00000163960.12
AC016949.1,ENSG00000230732.4
RUBCN,ENSG00000145016.16
LRCH3,ENSG00000186001.14
IQCG,ENSG00000114473.14
LMLN,ENSG00000185621.11
ZNF595,ENSG00000272602.6
ZNF718,ENSG00000250312.8
ZNF141,ENSG00000131127.14
PCGF3,ENSG00000185619.18
AC139887.4,ENSG00000272588.1
AC139887.2,ENSG00000249592.6
TMEM175,ENSG00000127419.17
DGKQ,ENSG00000145214.14
SPON2,ENSG00000159674.12
UVSSA,ENSG00000163945.18
AC147067.1,ENSG00000244459.2
AC016773.2,ENSG00000270195.2
C4orf48,ENSG00000243449.6
ZFYVE28,ENSG00000159733.14
FAM193A,ENSG00000125386.15
SH3BP2,ENSG00000087266.17
GRK4,ENSG00000125388.20
RGS12,ENSG00000159788.19
LYAR,ENSG00000145220.14
NSG1,ENSG00000168824.14
STX18-AS1,ENSG00000247708.8
EVC2,ENSG00000173040.13
EVC,ENSG00000072840.13
MAN2B2,ENSG00000013288.9
AC093323.1,ENSG00000170846.17
LINC02481,ENSG00000246526.2
S100P,ENSG00000163993.7
KIAA0232,ENSG00000170871.12
AC097382.3,ENSG00000287104.1
AFAP1,ENSG00000196526.10
SH3TC1,ENSG00000125089.17
AC005674.2,ENSG00000261490.1
ZNF518B,ENSG00000178163.8
CPEB2,ENSG00000137449.16
FBXL5,ENSG00000118564.15
FAM200B,ENSG00000237765.7
BST1,ENSG00000109743.11
CD38,ENSG00000004468.13
FGFBP2,ENSG00000137441.8
TAPT1-AS1,ENSG00000263327.6
LAP3,ENSG00000002549.12
LCORL,ENSG00000178177.15
CCDC149,ENSG00000181982.18
TBC1D19,ENSG00000109680.11
ARAP2,ENSG00000047365.12
DTHD1,ENSG00000197057.9
KLF3,ENSG00000109787.13
TLR1,ENSG00000174125.8
TLR6,ENSG00000174130.12
FAM114A1,ENSG00000197712.12
SMIM14,ENSG00000163683.12
AC098591.2,ENSG00000205794.4
RHOH,ENSG00000168421.13
RBM47,ENSG00000163694.15
ATP8A1,ENSG00000124406.16
ATP10D,ENSG00000145246.14
NFXL1,ENSG00000170448.12
TXK,ENSG00000074966.11
TEC,ENSG00000135605.13
USP46,ENSG00000109189.13
SCFD2,ENSG00000184178.16
CLOCK,ENSG00000134852.15
CEP135,ENSG00000174799.11
AASDH,ENSG00000157426.14
HOPX,ENSG00000171476.22
SPINK2,ENSG00000128040.11
IGFBP7,ENSG00000163453.11
SULT1B1,ENSG00000173597.9
JCHAIN,ENSG00000132465.11
MOB1B,ENSG00000173542.9
SLC4A4,ENSG00000080493.17
CXCL8,ENSG00000169429.11
PF4V1,ENSG00000109272.4
CXCL1,ENSG00000163739.5
PF4,ENSG00000163737.4
PPBP,ENSG00000163736.4
CXCL3,ENSG00000163734.4
CXCL2,ENSG00000081041.9
MTHFD2L,ENSG00000163738.18
EREG,ENSG00000124882.4
AREG,ENSG00000109321.11
THAP6,ENSG00000174796.12
ODAPH,ENSG00000174792.11
G3BP2,ENSG00000138757.14
CXCL10,ENSG00000169245.6
SCARB2,ENSG00000138760.10
CCNG2,ENSG00000138764.15
CXCL13,ENSG00000156234.7
ANXA3,ENSG00000138772.13
AC098818.2,ENSG00000260278.1
BMP2K,ENSG00000138756.17
LINC00989,ENSG00000250334.6
RASGEF1B,ENSG00000138670.17
AC124016.2,ENSG00000272677.1
SCD5,ENSG00000145284.12
PLAC8,ENSG00000145287.10
HPSE,ENSG00000173083.15
HELQ,ENSG00000163312.11
GPAT3,ENSG00000138678.11
WDFY3,ENSG00000163625.15
WDFY3-AS2,ENSG00000180769.10
ARHGAP24,ENSG00000138639.18
PTPN13,ENSG00000163629.13
KLHL8,ENSG00000145332.14
PKD2,ENSG00000118762.8
HERC5,ENSG00000138646.9
HERC3,ENSG00000138641.18
FAM13A-AS1,ENSG00000248019.3
FAM13A,ENSG00000138640.15
SNCA,ENSG00000145335.17
MMRN1,ENSG00000138722.10
HPGDS,ENSG00000163106.11
DAPP1,ENSG00000070190.13
H2AZ1,ENSG00000164032.12
BANK1,ENSG00000153064.12
AF213884.3,ENSG00000260651.1
CENPE,ENSG00000138778.13
TET2,ENSG00000168769.13
TBCK,ENSG00000145348.17
SGMS2,ENSG00000164023.14
CYP2U1,ENSG00000155016.18
LEF1,ENSG00000138795.10
PLA2G12A,ENSG00000123739.11
ALPK1,ENSG00000073331.18
AC004057.1,ENSG00000196656.7
GTF2IP12,ENSG00000283050.2
AC093752.1,ENSG00000245958.6
PDE5A,ENSG00000138735.16
TNIP3,ENSG00000050730.16
CCNA2,ENSG00000145386.10
KIAA1109,ENSG00000138688.15
IL2,ENSG00000109471.5
IL21,ENSG00000138684.9
BBS12,ENSG00000181004.10
ANKRD50,ENSG00000151458.12
MFSD8,ENSG00000164073.11
JADE1,ENSG00000077684.16
NOCT,ENSG00000151014.6
AC097376.3,ENSG00000273247.5
MAML3,ENSG00000196782.12
ELMOD2,ENSG00000179387.10
TBC1D9,ENSG00000109436.8
LINC02432,ENSG00000248810.2
IL15,ENSG00000164136.17
AC104596.1,ENSG00000250326.2
GAB1,ENSG00000109458.8
OTUD4,ENSG00000164164.17
SMAD1,ENSG00000170365.10
ZNF827,ENSG00000151612.18
ARHGAP10,ENSG00000071205.12
NR3C2,ENSG00000151623.15
LRBA,ENSG00000198589.14
MIR4453HG,ENSG00000268471.6
TMEM154,ENSG00000170006.12
TMEM131L,ENSG00000121210.16
TLR2,ENSG00000137462.8
MAP9,ENSG00000164114.19
GUCY1A1,ENSG00000164116.16
GUCY1B1,ENSG00000061918.13
PDGFC,ENSG00000145431.11
GASK1B,ENSG00000164125.15
FAM198B-AS1,ENSG00000248429.5
TMEM144,ENSG00000164124.11
RAPGEF2,ENSG00000109756.9
MARCHF1,ENSG00000145416.13
KLHL2,ENSG00000109466.14
DDX60,ENSG00000137628.17
DDX60L,ENSG00000181381.13
PALLD,ENSG00000129116.19
CBR4,ENSG00000145439.12
CLCN3,ENSG00000109572.14
MFAP3L,ENSG00000198948.12
HMGB2,ENSG00000164104.12
SAP30-DT,ENSG00000272870.3
CEP44,ENSG00000164118.13
HPGD,ENSG00000164120.14
AC019163.1,ENSG00000248980.1
TRAPPC11,ENSG00000168538.16
AC099343.4,ENSG00000271646.1
ACSL1,ENSG00000151726.14
AC084871.1,ENSG00000249138.1
MIR3945HG,ENSG00000251230.6
TLR3,ENSG00000164342.13
CYP4V2,ENSG00000145476.16
AC093909.1,ENSG00000180015.12
FRG1-DT,ENSG00000245685.7
SLC9A3-AS1,ENSG00000225138.8
SLC12A7,ENSG00000113504.21
AC026748.1,ENSG00000279908.1
LPCAT1,ENSG00000153395.10
SDHAP3,ENSG00000185986.12
TENT4A,ENSG00000112941.14
CMBL,ENSG00000164237.9
AC012640.4,ENSG00000259802.1
DAP,ENSG00000112977.16
TRIO,ENSG00000038382.20
BASP1,ENSG00000176788.9
AC025181.2,ENSG00000272086.1
MTMR12,ENSG00000150712.11
AC010343.1,ENSG00000240376.1
SPEF2,ENSG00000152582.14
IL7R,ENSG00000168685.15
SLC1A3,ENSG00000079215.14
CPLANE1,ENSG00000197603.14
DAB2,ENSG00000153071.15
PTGER4,ENSG00000171522.6
CCDC152,ENSG00000198865.10
AC008875.3,ENSG00000287263.1
AC025171.1,ENSG00000177738.4
AC025171.3,ENSG00000251131.2
AC025171.2,ENSG00000215068.8
NNT-AS1,ENSG00000248092.8
PARP8,ENSG00000151883.19
ITGA1,ENSG00000213949.10
ITGA2,ENSG00000164171.11
ARL15,ENSG00000185305.11
SNX18,ENSG00000178996.14
GZMK,ENSG00000113088.6
GZMA,ENSG00000145649.8
PLPP1,ENSG00000067113.17
IL6ST,ENSG00000134352.20
MAP3K1,ENSG00000095015.6
PLK2,ENSG00000145632.15
GAPT,ENSG00000175857.8
PDE4D,ENSG00000113448.19
ELOVL7,ENSG00000164181.14
ZSWIM6,ENSG00000130449.6
AC122718.1,ENSG00000250461.1
KIF2A,ENSG00000068796.18
IPO11,ENSG00000086200.16
ADAMTS6,ENSG00000049192.15
TRIM23,ENSG00000113595.15
AC010359.3,ENSG00000286314.1
MAST4,ENSG00000069020.18
PIK3R1,ENSG00000145675.15
CCNB1,ENSG00000134057.15
OCLN,ENSG00000197822.11
AC139495.2,ENSG00000250138.4
GUSBP3,ENSG00000253203.6
NAIP,ENSG00000249437.8
GTF2H2,ENSG00000145736.14
FCHO2,ENSG00000157107.14
ANKRA2,ENSG00000164331.10
ENC1,ENSG00000171617.14
FAM169A,ENSG00000198780.12
F2R,ENSG00000181104.7
S100Z,ENSG00000171643.14
AC024568.1,ENSG00000253558.1
SCAMP1,ENSG00000085365.18
LHFPL2,ENSG00000145685.14
DMGDH,ENSG00000132837.15
JMY,ENSG00000152409.9
SERINC5,ENSG00000164300.17
ZFYVE16,ENSG00000039319.17
AC008771.1,ENSG00000249042.6
RASGRF2,ENSG00000113319.13
SSBP2,ENSG00000145687.16
VCAN,ENSG00000038427.16
RASA1,ENSG00000145715.15
CCNH,ENSG00000134480.16
TMEM161B-AS1,ENSG00000247828.8
MEF2C,ENSG00000081189.16
AC093510.1,ENSG00000255647.3
LUCAT1,ENSG00000248323.7
AC123595.1,ENSG00000234292.3
ARRDC3,ENSG00000113369.9
ARRDC3-AS1,ENSG00000281357.3
FAM172A,ENSG00000113391.19
POU5F2,ENSG00000248483.7
AC114980.1,ENSG00000251023.1
MCTP1,ENSG00000175471.19
RHOBTB3,ENSG00000164292.13
ELL2,ENSG00000118985.16
AC008906.1,ENSG00000248734.2
AC009126.1,ENSG00000247121.7
SLCO4C1,ENSG00000173930.9
PAM,ENSG00000145730.20
MACIR,ENSG00000181751.10
FBXL17,ENSG00000145743.17
LINC01023,ENSG00000272523.1
FER,ENSG00000151422.13
EPB41L4A,ENSG00000129595.13
APC,ENSG00000134982.17
YTHDC2,ENSG00000047188.16
CCDC112,ENSG00000164221.13
FEM1C,ENSG00000145780.8
AC034236.2,ENSG00000271918.1
RPS14P8,ENSG00000239528.1
DTWD2,ENSG00000169570.10
CEP120,ENSG00000168944.16
FBN2,ENSG00000138829.12
RAPGEF6,ENSG00000158987.21
AC005593.1,ENSG00000279584.1
IL3,ENSG00000164399.5
CSF2,ENSG00000164400.6
SLC22A4,ENSG00000197208.6
IRF1-AS1,ENSG00000197536.11
LINC02863,ENSG00000238160.1
AC116366.2,ENSG00000234290.2
IRF1,ENSG00000125347.14
IL5,ENSG00000113525.10
IL13,ENSG00000169194.9
IL4,ENSG00000113520.11
SHROOM1,ENSG00000164403.14
TCF7,ENSG00000081059.20
JADE2,ENSG00000043143.20
AC006077.2,ENSG00000279799.1
TGFBI,ENSG00000120708.17
SMAD5,ENSG00000113658.18
SPOCK1,ENSG00000152377.14
KLHL3,ENSG00000146021.15
AC106791.1,ENSG00000250159.7
BRD8,ENSG00000112983.17
FAM53C,ENSG00000120709.11
KDM3B,ENSG00000120733.14
EGR1,ENSG00000120738.8
MATR3-1,ENSG00000015479.19
MZB1,ENSG00000170476.16
CXXC5,ENSG00000171604.12
MALINC1,ENSG00000245146.7
HBEGF,ENSG00000113070.8
ANKHD1,ENSG00000131503.21
ANKHD1-EIF4EBP3,ENSG00000254996.5
APBB3,ENSG00000113108.19
AC116353.6,ENSG00000283602.1
CD14,ENSG00000170458.14
HARS2,ENSG00000112855.17
FCHSD1,ENSG00000197948.11
ARAP3,ENSG00000120318.16
ARHGAP26,ENSG00000145819.18
PPP2R2B,ENSG00000156475.18
JAKMIP2,ENSG00000176049.16
FBXO38,ENSG00000145868.17
ADRB2,ENSG00000169252.5
ABLIM3,ENSG00000173210.19
AC021078.1,ENSG00000230551.4
SLC26A2,ENSG00000155850.8
TIGD6,ENSG00000164296.7
CSF1R,ENSG00000182578.13
PDGFRB,ENSG00000113721.14
NDST1,ENSG00000070614.15
SMIM3,ENSG00000256235.2
GM2A,ENSG00000196743.9
SLC36A1,ENSG00000123643.13
SPARC,ENSG00000113140.11
GALNT10,ENSG00000164574.16
SAP30L-AS1,ENSG00000245275.8
FAXDC2,ENSG00000170271.11
TIMD4,ENSG00000145850.9
ITK,ENSG00000113263.13
ADAM19,ENSG00000135074.16
PWWP2A,ENSG00000170234.13
PTTG1,ENSG00000164611.13
MIR3142HG,ENSG00000253522.6
KCNMB1,ENSG00000145936.9
FBXW11,ENSG00000072803.17
DUSP1,ENSG00000120129.6
CREBRF,ENSG00000164463.12
CPEB4,ENSG00000113742.14
HRH2,ENSG00000113749.7
ARL10,ENSG00000175414.7
HK3,ENSG00000160883.11
RAB24,ENSG00000169228.14
MXD3,ENSG00000213347.10
PRR7,ENSG00000131188.12
DBN1,ENSG00000113758.13
PDLIM7,ENSG00000196923.14
DOK3,ENSG00000146094.14
FAM193B,ENSG00000146067.16
AC139795.1,ENSG00000246596.7
CLK4,ENSG00000113240.13
ZNF354B,ENSG00000178338.11
ZNF879,ENSG00000234284.7
ZNF354C,ENSG00000177932.7
RUFY1,ENSG00000176783.15
LTC4S,ENSG00000213316.10
MGAT4B,ENSG00000161013.17
SQSTM1,ENSG00000161011.20
MRNIP,ENSG00000161010.15
RNF130,ENSG00000113269.14
SCGB3A1,ENSG00000161055.4
LINC00847,ENSG00000245060.8
AC008443.1,ENSG00000233937.7
TRIM52,ENSG00000183718.5
TRIM52-AS1,ENSG00000248275.2
AL365272.1,ENSG00000287265.1
IRF4,ENSG00000137265.15
GMDS-DT,ENSG00000250903.9
SERPINB1,ENSG00000021355.13
SERPINB9P1,ENSG00000230438.7
SERPINB9,ENSG00000170542.6
SERPINB6,ENSG00000124570.21
LINC01011,ENSG00000244041.7
HTATSF1P2,ENSG00000271361.1
TUBB2A,ENSG00000137267.6
CDYL,ENSG00000153046.18
NRN1,ENSG00000124785.9
F13A1,ENSG00000124491.16
LY86-AS1,ENSG00000216863.10
LY86,ENSG00000112799.9
RREB1,ENSG00000124782.20
BMP6,ENSG00000153162.9
GCNT2,ENSG00000111846.18
NEDD9,ENSG00000111859.17
TMEM170B,ENSG00000205269.6
ADTRP,ENSG00000111863.12
PHACTR1,ENSG00000112137.17
GFOD1,ENSG00000145990.11
CD83,ENSG00000112149.10
MYLIP,ENSG00000007944.15
GMPR,ENSG00000137198.10
FAM8A1,ENSG00000137414.6
NUP153,ENSG00000124789.12
KIF13A,ENSG00000137177.20
KDM1B,ENSG00000165097.16
RNF144B,ENSG00000137393.10
MBOAT1,ENSG00000172197.11
E2F3,ENSG00000112242.15
SOX4,ENSG00000124766.7
RIPOR2,ENSG00000111913.20
TRIM38,ENSG00000112343.11
U91328.1,ENSG00000272462.3
H1-1,ENSG00000124610.5
H3C1,ENSG00000275714.2
H3C2,ENSG00000286522.2
H2AC4,ENSG00000278463.2
H2BC3,ENSG00000276410.4
H3C3,ENSG00000287080.2
H1-2,ENSG00000187837.4
H4C3,ENSG00000197061.5
H2BC4,ENSG00000180596.7
H2AC6,ENSG00000180573.9
H1-4,ENSG00000168298.7
H2BC5,ENSG00000158373.8
AL353759.1,ENSG00000283064.1
AL031777.2,ENSG00000282988.2
H2BC7,ENSG00000277224.2
H2BC8,ENSG00000273802.2
H2AC8,ENSG00000277075.2
H1-3,ENSG00000124575.7
H4C6,ENSG00000274618.2
H3C7,ENSG00000277775.2
H2BC9,ENSG00000275713.2
H3C8,ENSG00000273983.1
H4C8,ENSG00000158406.4
BTN3A2,ENSG00000186470.14
BTN2A2,ENSG00000124508.17
BTN3A1,ENSG00000026950.17
BTN2A3P,ENSG00000124549.14
BTN3A3,ENSG00000111801.16
BTN2A1,ENSG00000112763.17
HCG11,ENSG00000228223.3
ZNF322,ENSG00000181315.11
GUSBP2,ENSG00000241549.8
H2BC11,ENSG00000124635.9
H2AC11,ENSG00000196787.3
H2BC12,ENSG00000197903.8
H2AC12,ENSG00000274997.2
H2BC13,ENSG00000185130.5
H2AC13,ENSG00000196747.4
H3C10,ENSG00000278828.1
H2BC14,ENSG00000273703.2
H2BC15,ENSG00000233822.4
H2AC16,ENSG00000276903.2
H1-5,ENSG00000184357.5
H3C11,ENSG00000275379.2
H3C12,ENSG00000197153.5
H2AC17,ENSG00000278677.2
H2BC17,ENSG00000274641.2
ZSCAN16-AS1,ENSG00000269293.3
ZKSCAN8,ENSG00000198315.11
ZSCAN26,ENSG00000197062.11
ZKSCAN3,ENSG00000189298.14
GABBR1,ENSG00000204681.11
SUMO2P1,ENSG00000235238.1
ZFP57,ENSG00000204644.9
HLA-G,ENSG00000204632.11
HLA-H,ENSG00000206341.7
AL671277.1,ENSG00000227766.1
ZNRD1ASP,ENSG00000204623.9
HLA-L,ENSG00000243753.5
AL662795.2,ENSG00000280128.1
HCG18,ENSG00000231074.9
TRIM39,ENSG00000204599.14
PPP1R10,ENSG00000204569.10
MDC1,ENSG00000137337.15
TUBB,ENSG00000196230.13
IER3-AS1,ENSG00000272273.1
IER3,ENSG00000137331.12
LINC00243,ENSG00000214894.6
AL662844.4,ENSG00000272501.1
AL671883.2,ENSG00000271581.1
HCP5,ENSG00000206337.12
AL645933.4,ENSG00000286940.1
DDX39B,ENSG00000198563.14
LTA,ENSG00000226979.8
TNF,ENSG00000232810.4
LTB,ENSG00000227507.3
LST1,ENSG00000204482.11
NCR3,ENSG00000204475.10
AIF1,ENSG00000204472.13
C6orf47,ENSG00000204439.4
LY6G5C,ENSG00000204428.12
ABHD16A,ENSG00000204427.12
MPIG6B,ENSG00000204420.10
HSPA1L,ENSG00000204390.10
HSPA1A,ENSG00000204389.10
HSPA1B,ENSG00000204388.7
EHMT2,ENSG00000204371.11
SKIV2L,ENSG00000204351.12
STK19,ENSG00000204344.14
PPT2-EGFL8,ENSG00000258388.7
AGPAT1,ENSG00000204310.13
AGER,ENSG00000204305.14
PBX2,ENSG00000204304.12
HLA-DRA,ENSG00000204287.14
HLA-DRB5,ENSG00000198502.6
